,posteam_type,yardline_100,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,drive,qtr,goal_to_go,ydstogo,desc,shotgun,no_huddle,qb_dropback,qb_scramble,posteam_timeouts_remaining,defteam_timeouts_remaining,score_differential,no_score_prob,opp_fg_prob,opp_safety_prob,opp_td_prob,fg_prob,safety_prob,td_prob,penalty,pass,run,4th_down_conversion,scoring_prob
23967,0.0,56.0,342.0,342.0,342.0,24,4,0.0,3,(5:42) (Shotgun) M.Stafford pass incomplete short right to M.Morris.,1,0,1.0,0,1.0,3.0,-17.0,0.3152521152428461,0.13612545020548744,0.0018659006501169327,0.19981339294629527,0.1527346301278227,0.004037550461846391,0.19017096036558512,0.0,1,0,0.0,0.029045691292490475
23982,0.0,48.0,149.0,149.0,149.0,26,4,0.0,1,(2:29) (Shotgun) M.Stafford pass incomplete short left to K.Smith.,1,0,1.0,0,1.0,2.0,-17.0,0.4690857655710563,0.0812860100464192,0.0008264717770307198,0.1227953928462605,0.14328028162835454,0.003014785655010005,0.17971129247586864,0.0,1,0,0.0,0.025749084597738052
24049,0.0,44.0,757.0,757.0,2557.0,11,2,0.0,1,"(12:37) J.Charles left end for 44 yards, TOUCHDOWN.",0,0,0.0,0,2.0,3.0,-7.0,0.06671432759254729,0.13081437290937226,0.0012197806380399767,0.20318453141632464,0.2935426788752569,0.0054581615407912655,0.2990661470276677,0.0,0,1,1.0,0.08778867795940304
24129,0.0,14.0,202.0,1102.0,1102.0,22,3,0.0,1,(3:22) M.Cassel pass incomplete short right to B.Cottam.,0,0,1.0,0,3.0,2.0,3.0,0.006894839137603125,0.03971418668706474,0.0001819443680476904,0.06477104893642137,0.7126206095044257,0.003922180078677728,0.17189519128775954,0.0,1,0,0.0,0.12249605598636305
24326,0.0,43.0,478.0,478.0,478.0,20,4,0.0,10,(7:58) (Shotgun) T.Romo pass short left to P.Crayton to GB 29 for 14 yards (J.Bush).,1,0,1.0,0,1.0,2.0,-17.0,0.17189669071959948,0.1174728681779979,0.0013275856792143222,0.17098920792062544,0.3707479566381792,0.0050876764602825215,0.16247801440410115,0.0,1,0,1.0,0.06023839183894915
24353,0.0,24.0,97.0,97.0,97.0,22,4,0.0,1,(1:37) (No Huddle) T.Romo up the middle to GB 22 for 2 yards (N.Barnett).,0,1,0.0,0,0.0,2.0,-17.0,0.3911328520078261,0.027433174575766654,0.000304492299644216,0.02109251458192976,0.453640565701676,0.0009764573450609119,0.10541994348809636,0.0,0,1,1.0,0.04782276280017875
24396,1.0,1.0,172.0,1072.0,2872.0,6,1,1.0,1,"(2:52) T.Hightower right tackle to SEA 1 for no gain (L.Hill, M.Trufant).",0,0,0.0,0,3.0,3.0,0.0,0.004959996238773821,0.030607999314104024,0.003422103086391012,0.04640023628569764,0.5566684506440688,0.01435255365842646,0.34358866077253825,0.0,0,1,0.0,0.1912649674511194
24476,1.0,10.0,498.0,1398.0,1398.0,15,3,0.0,1,"(8:18) C.Wells right tackle for 10 yards, TOUCHDOWN.",0,0,0.0,0,2.0,3.0,-7.0,0.0017725541062477358,0.03253700614424965,0.0001360834617730096,0.053920118525089655,0.7581641689814864,0.003609202517418853,0.14986086626373465,0.0,0,1,1.0,0.11361913913369005
24716,0.0,28.0,514.0,514.0,514.0,18,4,0.0,4,(8:34) (Shotgun) D.McNabb pass deep middle to B.Celek to SD 11 for 17 yards (E.Weddle).,1,0,1.0,0,1.0,3.0,-12.0,0.10500695770085684,0.06816894312541981,0.000493712619753357,0.10341334481079266,0.5548546425206368,0.004520849300035506,0.1635415499225051,0.0,1,0,1.0,0.09074178821952245
24922,0.0,72.0,128.0,128.0,128.0,27,4,0.0,2,(2:08) (Shotgun) T.Brady pass short right to K.Faulk to NE 29 for 1 yard (M.Bullitt).,1,0,1.0,0,0.0,1.0,6.0,0.5455398135682596,0.1155388810926508,0.0022246002628511174,0.1666721478157657,0.04098657770744678,0.0021602395346455726,0.12687774001838031,0.0,1,0,0.0,0.005200284350608575
25040,1.0,53.0,204.0,1104.0,1104.0,16,3,0.0,1,(3:24) B.Quinn up the middle to CLE 49 for 2 yards (K.Gregg).,0,0,0.0,0,2.0,3.0,-16.0,0.019858251686734937,0.17562610738558387,0.0020401550936099038,0.2734467829318482,0.2052475747770253,0.005671935215632922,0.3181091929095648,0.0,0,1,1.0,0.06529114035896506
25092,0.0,37.0,26.0,26.0,26.0,23,4,0.0,8,(:26) W.McGahee left guard to CLE 35 for 2 yards (B.Pool).,0,0,0.0,0,2.0,0.0,16.0,0.5611544713770178,0.03680843938459297,0.0006789669561080159,0.026430741079737443,0.30923812683125296,0.0009105334929560767,0.0647787208783349,0.0,0,1,0.0,0.020032050302940863
25271,0.0,28.0,44.0,44.0,44.0,22,4,0.0,3,(:44) L.Hilliard up the middle to CAR 27 for 1 yard (J.Beason).,0,0,0.0,0,2.0,0.0,7.0,0.4651740103502843,0.028671039891476364,0.0003885770851802129,0.021322562544817958,0.4056652556013908,0.0009141070788476244,0.07786444744800262,0.0,0,1,0.0,0.03158690097625504
25591,1.0,27.0,415.0,415.0,415.0,21,4,0.0,2,(6:55) (Shotgun) J.Freeman pass incomplete short right to K.Winslow.,1,0,1.0,0,2.0,2.0,-31.0,0.1488514920988157,0.06223990360768865,0.0004113206588945384,0.09576642449096898,0.5066427613237159,0.004232656653848586,0.18185544116606767,0.0,1,0,0.0,0.09213574287411908
25595,0.0,64.0,299.0,299.0,299.0,22,4,0.0,1,(4:59) L.Hamilton right guard to NO 40 for 4 yards (T.Jackson).,0,0,0.0,0,2.0,2.0,31.0,0.36350274952015454,0.13765745912236674,0.0020546374909927428,0.2051880302332972,0.07837709923845115,0.003230127147664848,0.2099898972470728,0.0,0,1,1.0,0.016458399015605984
25600,0.0,52.0,124.0,124.0,124.0,22,4,0.0,2,(2:04) L.Hamilton up the middle to NO 43 for -5 yards (G.Hayes).,0,0,0.0,0,1.0,2.0,31.0,0.511832963354302,0.0859573262544452,0.0010269912571889154,0.1269705405825384,0.12376519158871532,0.0028509750227526487,0.1475960119400576,0.0,0,1,0.0,0.018267248695491543
25670,0.0,19.0,259.0,259.0,2059.0,8,2,0.0,1,"(4:19) M.Ryan up the middle to NYG 17 for 2 yards (F.Robbins, M.Kiwanuka).",0,0,0.0,0,3.0,3.0,-3.0,0.20005242076200308,0.03963474935551407,0.00020208076123886168,0.06223866625146464,0.5287222329229585,0.003377025179611593,0.16577282476720925,0.0,0,1,1.0,0.0876477780688652
25753,0.0,35.0,564.0,564.0,564.0,17,4,0.0,1,"(9:24) J.Snelling left end to NYG 31 for 4 yards (M.Johnson, A.Rouse).",0,0,0.0,0,3.0,3.0,-14.0,0.11226382998464926,0.0912210243088383,0.0006843059402309415,0.14217201792358974,0.38920550645007496,0.0049212946114875035,0.25953202078112936,0.0,0,1,1.0,0.10101129158813082
25996,0.0,26.0,62.0,962.0,2762.0,6,1,0.0,1,(1:02) R.Mendenhall left tackle to KC 22 for 4 yards (J.McGraw).,0,0,0.0,0,3.0,3.0,-7.0,0.01908701348977915,0.0708659760786218,0.0004313912787425387,0.11333397166074405,0.553664934078849,0.004958368253533593,0.2376583451597299,0.0,0,1,1.0,0.13158309200615018
26041,1.0,59.0,1.0,1.0,1801.0,11,2,0.0,9,"(:01) (Shotgun) M.Cassel sacked at KC 34 for -7 yards (L.Woodley). Penalty on KC, Illegal Shift, declined.",1,0,1.0,0,3.0,3.0,-10.0,0.7415738043667081,0.05597328316881276,0.001764213613606073,0.03900416890436799,0.10221711844253628,0.0007373208176443352,0.058730090686324725,0.0,1,0,0.0,0.006003220635824951
26304,0.0,46.0,26.0,26.0,26.0,21,4,0.0,10,(:26) (Shotgun) R.Fitzpatrick pass deep middle intended for T.Owens INTERCEPTED by A.Smith [R.Nelson] at JAC 26. A.Smith to JAC 30 for 4 yards (A.Levitre).,1,0,1.0,0,1.0,2.0,-3.0,0.6404948628634568,0.046700777215626425,0.0010907854958138801,0.032998130755527065,0.21409091263245225,0.000893450280906456,0.0637310807562172,0.0,1,0,0.0,0.013644245242151054
26435,1.0,39.0,728.0,728.0,728.0,17,4,0.0,2,(12:08) (Shotgun) T.Romo pass short middle intended for M.Austin INTERCEPTED by L.Fletcher at WAS 33. L.Fletcher to WAS 35 for 2 yards (L.Davis).,1,0,1.0,0,3.0,2.0,-6.0,0.06700001375302139,0.11368043424934485,0.0010048741552263509,0.17448852234752096,0.3914608234049653,0.005489883693495935,0.24687544839642525,0.0,1,0,0.0,0.09664206630773464
26559,0.0,29.0,62.0,62.0,1862.0,13,2,0.0,4,(1:02) (Shotgun) B.Quinn pass short right to C.Stuckey ran ob at DET 22 for 7 yards (W.James).,1,0,1.0,0,2.0,2.0,0.0,0.45236698528941705,0.03066398649626459,0.00043760782759792727,0.02263538260492512,0.4170454242891836,0.0009513077273122564,0.0758993057652995,0.0,1,0,1.0,0.03165345817614381
26563,0.0,21.0,13.0,13.0,1813.0,13,2,0.0,9,(:13) (Field Goal formation) P.Dawson pass short right to M.Furrey to DET 11 for 10 yards (L.Delmas).,0,0,1.0,0,2.0,2.0,0.0,0.385154199646559,0.020258755956688662,0.0002579595067068352,0.014777712701001759,0.529148600574947,0.0007930712638677571,0.04960970035022904,0.0,1,0,1.0,0.02625090351526615
26638,1.0,51.0,261.0,261.0,261.0,23,4,0.0,1,(4:21) M.Stafford up the middle to 50 for 1 yard (C.Mosley).,0,0,0.0,0,2.0,2.0,-6.0,0.3705695539050802,0.10452892078631944,0.0011435137018472158,0.15801268581807698,0.14827440992305108,0.003559475267806613,0.21391144059781864,0.0,0,1,1.0,0.03171759263043135
26761,0.0,28.0,688.0,1588.0,1588.0,12,3,0.0,2,(11:28) (Shotgun) A.Smith pass incomplete short right to F.Gore [C.Matthews].,1,0,1.0,0,2.0,3.0,-20.0,0.001639810893019541,0.08124029496200204,0.0005593517444935657,0.13052346398170733,0.5722063456367878,0.005401250986112063,0.2084294817958776,0.0,1,0,0.0,0.11926467210138852
26821,0.0,10.0,362.0,362.0,362.0,22,4,0.0,5,"(6:02) (Shotgun) A.Smith pass short right to F.Gore for 10 yards, TOUCHDOWN.",1,0,1.0,0,2.0,1.0,-13.0,0.08759720264303437,0.025480948484973027,0.00012243717811752296,0.03905557615606192,0.7570656951845268,0.0028312828047033184,0.087846857548583,0.0,1,0,1.0,0.06650584227979409
26897,1.0,22.0,439.0,439.0,2239.0,8,2,0.0,1,(7:19) S.Jackson right tackle to ARI 22 for no gain (G.Hayes).,0,0,0.0,0,3.0,3.0,-11.0,0.12034429727079406,0.05115660561430317,0.0002809148062457562,0.08059226862099211,0.5468042467480947,0.004003326539217551,0.19681834040035265,0.0,0,1,0.0,0.10762110436882492
26973,1.0,27.0,555.0,555.0,555.0,18,4,0.0,1,(9:15) S.Jackson up the middle to ARI 25 for 2 yards (G.Watson).,0,0,0.0,0,3.0,3.0,-15.0,0.09327548180589136,0.06703033570094685,0.00041541657911333936,0.10543455296143048,0.5010959672683921,0.00454793189759647,0.2282003137866293,0.0,0,1,1.0,0.11435025696786161
26978,1.0,26.0,476.0,476.0,476.0,18,4,0.0,11,"(7:56) (Shotgun) M.Bulger pass deep middle to D.Amendola to ARI 1 for 25 yards (R.Brown, A.Rolle).",1,0,1.0,0,3.0,3.0,-15.0,0.10513835771287787,0.05954990678428616,0.0004527092070571473,0.08824268394424198,0.6247098888110005,0.004199941072019644,0.1177065124685166,0.0,1,0,1.0,0.07353242231653766
26993,1.0,7.0,226.0,226.0,226.0,20,4,0.0,4,(3:46) M.Bulger pass incomplete short left to D.Avery.,0,0,1.0,0,3.0,3.0,-8.0,0.12724773329863667,0.020448337455830325,8.936003924302009e-05,0.031461564834921504,0.7377697856996261,0.0024719502341280565,0.0805112684376142,0.0,1,0,0.0,0.059398781261623707
27009,1.0,81.0,28.0,28.0,28.0,22,4,0.0,17,"(:28) (Shotgun) M.Bulger scrambles left guard to STL 22 for 3 yards (C.Campbell). FUMBLES (C.Campbell), recovered by STL-B.Gibson at STL 22. B.Gibson to STL 22 for no gain (C.Haggans). Penalty on STL-A.Barron, Offensive Holding, declined.",1,0,1.0,1,0.0,2.0,-8.0,0.7717521300484318,0.08448282791622849,0.004784753958151346,0.05653154367237756,0.035385512349936296,0.0005941154813761044,0.04646911657349826,0.0,0,1,0.0,0.0016443334984021522
27114,1.0,40.0,234.0,1134.0,1134.0,14,3,0.0,5,(3:54) (Shotgun) K.Orton pass incomplete short middle to J.Gaffney.,1,0,1.0,0,3.0,2.0,-17.0,0.013880548869813112,0.12833630061125692,0.00127575265912901,0.195427757464334,0.4441012331751269,0.006059361981449734,0.2109190452388903,0.0,1,0,0.0,0.09366940809071156
27152,1.0,19.0,462.0,462.0,462.0,18,4,0.0,15,(7:42) (Shotgun) K.Orton pass incomplete deep middle to B.Marshall (P.Oliver).,1,0,1.0,0,3.0,1.0,-23.0,0.08142859761849637,0.04089480001731016,0.000270940259387645,0.06061883549741876,0.7253887319401496,0.0035295412641618063,0.08786855340307542,0.0,1,0,0.0,0.0637388585304722
27164,1.0,72.0,213.0,213.0,213.0,20,4,0.0,2,(3:33) (Shotgun) K.Orton pass incomplete short right to J.Gaffney (S.Gregory).,1,0,1.0,0,3.0,0.0,-23.0,0.459815843204911,0.13753446343011996,0.002651395891661127,0.19904178551415416,0.048526002597391836,0.002572619643833816,0.14985788971792816,0.0,1,0,0.0,0.007272004345691841
27171,0.0,8.0,39.0,39.0,39.0,21,4,0.0,1,"(:39) M.Tolbert up the middle for 8 yards, TOUCHDOWN.",0,0,0.0,0,0.0,3.0,23.0,0.2690342022780119,0.012545948768890768,9.498699291528135e-05,0.009810310592229659,0.6385228104714942,0.0007061670455572157,0.06928557385090119,0.0,0,1,1.0,0.04424041934040769
27336,1.0,45.0,59.0,59.0,59.0,21,4,0.0,10,(:59) (Shotgun) B.Gradkowski pass short middle to C.Schilens to CIN 29 for 16 yards (M.Trent).,1,0,1.0,0,1.0,3.0,-7.0,0.6010252383116934,0.04957047797465173,0.0011310634400604658,0.035111435018863935,0.2432199821207187,0.0009760915466915183,0.06896571158732022,0.0,1,0,1.0,0.016773839139210666
27367,1.0,38.0,500.0,1400.0,3200.0,3,1,0.0,1,(8:20) L.Maroney left tackle to NYJ 36 for 2 yards (B.Scott).,0,0,0.0,0,3.0,3.0,0.0,0.00473140561550861,0.1184307150791637,0.000966062542254311,0.1898362398627259,0.3883171758704477,0.005888144883180996,0.29183025614671865,0.0,0,1,1.0,0.11332270090044314
27447,0.0,56.0,739.0,1639.0,1639.0,15,3,0.0,1,"(12:19) W.Hunter and R.Turner reported in as eligible.  M.Sanchez up the middle to NYJ 46 for 2 yards (R.Brace, M.Wright).",0,0,0.0,0,3.0,2.0,-17.0,0.002412576237586742,0.19356824928821995,0.0024343571907201288,0.3064526850639595,0.17720864489587929,0.005752176032793551,0.3121713112908409,0.0,0,1,1.0,0.05531945504921962
27606,1.0,22.0,84.0,84.0,1884.0,10,2,0.0,1,(1:24) J.Cutler up the middle to PHI 20 for 2 yards (B.Bunkley).,0,0,0.0,0,2.0,2.0,-4.0,0.38168727399325214,0.02485194802963218,0.00026294005848639994,0.0191440595666713,0.4731348027668532,0.000936705595207458,0.09998226998989727,0.0,0,1,1.0,0.04730509159185231
27709,1.0,70.0,67.0,67.0,67.0,26,4,0.0,1,"(1:07) (Shotgun) J.Cutler pass short right to J.Knox to CHI 37 for 7 yards (Q.Mikell, D.Patterson).",1,0,1.0,0,0.0,2.0,-4.0,0.7201615618734107,0.07344422488691994,0.0024415250017687986,0.05339607541176601,0.04854590425279103,0.0006993467333408237,0.10131136184000264,0.0,1,0,1.0,0.004918251671604635
27972,1.0,44.0,4.0,4.0,1804.0,10,2,0.0,11,(:04) (Shotgun) M.Stafford sacked at DET 48 for -8 yards (C.Matthews).,1,0,1.0,0,0.0,3.0,-6.0,0.6428171988104752,0.042105409617595145,0.0009459114359982436,0.029728807194849882,0.2246997325196821,0.0008533168350310362,0.05884962358636845,0.0,1,0,0.0,0.013223494678740965
27980,0.0,31.0,761.0,1661.0,1661.0,12,3,0.0,3,"(12:41) (Shotgun) A.Rodgers sacked at DET 37 for -6 yards (J.Peterson). FUMBLES (J.Peterson) [J.Peterson], RECOVERED by DET-J.Hunter at DET 37. J.Hunter to DET 37 for no gain (J.Sitton).",1,0,1.0,0,3.0,2.0,6.0,0.0013268573914217074,0.09278720938222854,0.0007141449838800986,0.1475038629766592,0.5512849616743479,0.0056728561484986895,0.20071010744296372,0.0,1,0,0.0,0.11064846388934851
28025,1.0,1.0,609.0,609.0,609.0,19,4,1.0,1,(10:09) (Shotgun) M.Stafford pass incomplete short right to C.Johnson [A.Bigby]. Ball thrown away.,1,0,1.0,0,2.0,3.0,-20.0,0.030728379308574662,0.02892264817271756,0.0032118781810173786,0.04308331872157869,0.5417552655228648,0.013529936600336957,0.33876857349290995,0.0,1,0,0.0,0.18352965848345357
28032,1.0,43.0,483.0,483.0,483.0,21,4,0.0,5,(8:03) (Shotgun) M.Stafford pass short middle to W.Heller to GB 30 for 13 yards (N.Barnett).,1,0,1.0,0,2.0,3.0,-18.0,0.17205332980095034,0.11678947528920328,0.001235301910344993,0.1728947995585992,0.3414244845180746,0.005042917015059307,0.1905596919077681,0.0,1,0,1.0,0.06506174457953283
28221,0.0,18.0,114.0,114.0,114.0,23,4,0.0,6,(1:54) (Shotgun) B.Gradkowski pass incomplete short left to L.Murphy [D.Ware]. Pass incomplete at the Dallas 5; Scandrick closest.,1,0,1.0,0,1.0,3.0,-17.0,0.2728518701064655,0.020612281527373055,0.00023538775311830577,0.015296208865188237,0.6312079172004721,0.0008782623270225348,0.058918072220360274,0.0,1,0,0.0,0.037189553651680606
28273,1.0,29.0,785.0,785.0,2585.0,6,2,0.0,5,(13:05) (Shotgun) K.Orton pass short middle to T.Scheffler to NYG 7 for 22 yards (C.Webster). NYG-C.Webster was injured during the play.,1,0,1.0,0,3.0,2.0,3.0,0.03892203847525949,0.0774515118038864,0.0005892029070417927,0.11792890720549727,0.592070810286541,0.005003179797040412,0.1680343495247337,0.0,1,0,1.0,0.09948823347908092
28384,0.0,60.0,229.0,229.0,229.0,20,4,0.0,1,(3:49) E.Manning up the middle to NYG 43 for 3 yards (V.Holliday).,0,0,0.0,0,2.0,1.0,-20.0,0.4243883243539317,0.11583738452995106,0.0015699912157773948,0.1730294565520846,0.08766620447086078,0.003047200595388791,0.1944614382820058,0.0,0,1,1.0,0.017047696210127992
28502,0.0,28.0,547.0,1447.0,1447.0,12,3,0.0,1,"(9:07) L.Polite up the middle to BUF 27 for 1 yard (K.Williams, D.Florence).",0,0,0.0,0,2.0,3.0,0.0,0.002968253509330962,0.08072898682334255,0.0005191122123079035,0.13118757044415028,0.5316157088552479,0.00534714198889618,0.2476332261667241,0.0,0,1,1.0,0.13164571306473494
28518,1.0,36.0,63.0,963.0,963.0,13,3,0.0,1,"(1:03) R.Fitzpatrick left end to MIA 28 for 8 yards (Gi.Wilson, Y.Bell). Bootleg. Key block: J,Stupar.",0,0,0.0,0,3.0,2.0,-7.0,0.025505350083660547,0.10591092912099072,0.000818442194335662,0.16738019513463134,0.4107490959511091,0.0055637955557705406,0.284072191959502,0.0,0,1,1.0,0.11668239603221536
28709,0.0,39.0,779.0,779.0,779.0,18,4,0.0,8,"(12:59) (Punt formation) D.Johnson pass incomplete short middle to J.Gilmore (E.Coleman). Penalty on TB-N.Koutouvides, Ineligible Downfield Pass, declined.",0,0,1.0,0,3.0,2.0,4.0,0.05308890543321916,0.11696807626002807,0.0011813849318208646,0.1739632283401724,0.4676097541796589,0.005684456228952813,0.18150419462614767,0.0,1,0,0.0,0.08487313183170987
28723,1.0,34.0,441.0,441.0,441.0,21,4,0.0,4,(7:21) (Shotgun) C.Redman pass short middle to T.Gonzalez to TB 25 for 9 yards (T.Jackson). TB-T.Cox was injured during the play. He is Out.,1,0,1.0,0,2.0,3.0,-4.0,0.16194689122798495,0.08338515243030269,0.0006961096995441058,0.12524862144412474,0.4479325472494824,0.0046545216478872005,0.1761361563006739,0.0,1,0,1.0,0.07889711715449382
28759,1.0,5.0,26.0,26.0,26.0,23,4,1.0,5,"(:26) (Shotgun) C.Redman pass short left to R.White for 5 yards, TOUCHDOWN. The Replay Assistant challenged the pass completion ruling, and the play was Upheld.",1,0,1.0,0,0.0,0.0,-4.0,0.1972070256600041,0.008785331364193584,0.0001817689395818576,0.005294039862091818,0.7213620228262568,0.0008103337187699513,0.06635947762910181,0.0,1,0,1.0,0.047869207016222624
28882,0.0,51.0,900.0,900.0,900.0,14,4,0.0,1,(15:00) B.Quinn up the middle to 50 for 1 yard (B.Johnson).,0,0,0.0,0,3.0,3.0,-9.0,0.04301809841471562,0.16259528268782633,0.0017954217168312976,0.251809406447632,0.2214457241139883,0.005555050347121627,0.3137810162718848,0.0,0,1,1.0,0.06948546436155068
28929,0.0,54.0,119.0,119.0,119.0,20,4,0.0,5,(1:59) (Shotgun) B.Quinn pass incomplete short right to M.Massaquoi [R.Geathers].,1,0,1.0,0,1.0,3.0,-9.0,0.6168609183843589,0.06962422503304959,0.0018444382792192754,0.04972553815487119,0.16789361416554532,0.0010563834237627234,0.09299488255919308,0.0,1,0,0.0,0.015613246931763363
29011,1.0,34.0,110.0,110.0,1910.0,10,2,0.0,4,"(1:50) (Shotgun) K.Boller pass short right intended for D.Avery INTERCEPTED by J.Wilson (K.Jennings) at SEA 35. J.Wilson for 65 yards, TOUCHDOWN.",1,0,1.0,0,3.0,2.0,0.0,0.4593943014739218,0.03994020463544004,0.0006426505758837772,0.029361019976899067,0.3815617234678563,0.0010739244367253863,0.08802617543327364,0.0,1,0,0.0,0.03358741920860376
29065,0.0,18.0,900.0,900.0,900.0,17,4,0.0,1,(15:00) J.Forsett right guard to STL 7 for 11 yards (Q.Butler).,0,0,0.0,0,3.0,3.0,6.0,0.018115122902118072,0.04796303679930266,0.0002410244549388585,0.07725912634403594,0.6587900305688985,0.004219365656911975,0.19341229327379397,0.0,0,1,1.0,0.1274180905982435
29092,1.0,17.0,356.0,356.0,356.0,20,4,0.0,3,(5:56) (Shotgun) K.Boller pass incomplete deep middle to D.Fells [J.Wilson].,1,0,1.0,0,3.0,3.0,-16.0,0.12569295652730084,0.03772133698735829,0.00020396544587027,0.05803459813324454,0.6491821378452522,0.0034216942622992646,0.12574331079867468,0.0,1,0,0.0,0.08163031132402362
29226,0.0,56.0,189.0,1089.0,1089.0,14,3,0.0,1,(3:09) J.Addai right end to IND 46 for 2 yards (B.Cushing).,0,0,0.0,0,3.0,3.0,-6.0,0.02173347941765452,0.1867985806294896,0.002330422771371475,0.2896396334771902,0.17710613354772456,0.005535289243877969,0.3168564609126918,0.0,0,1,1.0,0.05611722268186256
29331,0.0,32.0,767.0,767.0,2567.0,6,2,0.0,1,"(12:47) D.Williams right tackle to NYJ 27 for 5 yards (J.Leonhard). PENALTY on NYJ-H.Green, Defensive Holding, 5 yards, enforced at NYJ 27.",0,0,0.0,0,3.0,3.0,-6.0,0.04896899063760824,0.08785789819945998,0.0006153777026432043,0.1384812663712293,0.4565569645981934,0.005170845340238725,0.2623486571506272,1.0,0,1,1.0,0.11977710657510249
29433,0.0,71.0,145.0,145.0,145.0,22,4,0.0,14,"(2:25) (Shotgun) J.Delhomme pass deep left to D.Jarrett to NYJ 47 for 24 yards (L.Sheppard, J.Leonhard).",1,0,1.0,0,3.0,1.0,-10.0,0.5344919860163954,0.1294571356729765,0.002932331728124506,0.17851015252261265,0.060945412965204074,0.0025123303249566338,0.09115065076973017,0.0,1,0,1.0,0.005555214053208302
29451,0.0,83.0,16.0,16.0,16.0,24,4,0.0,12,"(:16) (Shotgun) J.Delhomme pass short middle to D.Williams to CAR 20 for 3 yards. D.Williams pass short left to S.Smith to CAR 15 for -5 yards. Lateral to J.Delhomme to CAR 15 for no gain (S.Ellis, D.Harris). PENALTY on CAR-D.Williams, Illegal Forward Pass, 0 yards, enforced at CAR 20.",1,0,1.0,0,0.0,1.0,-10.0,0.7815216227353987,0.08213553508012672,0.004718478349820678,0.055267733020760317,0.028803949846082925,0.0005445669708207829,0.047008113996989835,1.0,1,0,0.0,0.001354019357928244
29481,1.0,42.0,268.0,1168.0,2968.0,4,1,0.0,1,(4:28) #5 McNabb returns as QB L.Weaver up the middle to WAS 40 for 2 yards (R.McIntosh).,0,0,0.0,0,3.0,3.0,-4.0,0.013004056869661015,0.1324591184245102,0.0011846605697291052,0.20946484117884584,0.3330898084740816,0.005865262706133628,0.3049322517770385,0.0,0,1,1.0,0.10156982534198418
29635,0.0,75.0,69.0,69.0,69.0,25,4,0.0,1,"(1:09) (No Huddle, Shotgun) J.Campbell pass incomplete short right to S.Moss [J.Parker]. WAS-J.Campbell was injured during the play. His return is Doubtful.",1,1,1.0,0,1.0,2.0,-3.0,0.7265983964734951,0.07884474421521863,0.002953198308970148,0.056986184633681526,0.03671465981180486,0.0006505425320262655,0.09725227402480366,0.0,1,0,0.0,0.003570584156745093
29710,1.0,37.0,118.0,118.0,1918.0,11,2,0.0,1,(1:58) A.Smith pass deep left to V.Davis to JAC 7 for 30 yards (C.Ingram) [D.Smith]. Caught at JAC 10.,0,0,1.0,0,3.0,3.0,10.0,0.5015044062160443,0.04407239610574374,0.0006672515936497954,0.03339151846193913,0.2928412701870878,0.001080876735467376,0.1264422807000678,0.0,1,0,1.0,0.03702751808556015
29757,0.0,14.0,900.0,900.0,900.0,15,4,0.0,2,"(15:00) D.Garrard sacked at SF 26 for -12 yards (sack split by J.Smith and P.Haralson). FUMBLES (J.Smith) [P.Haralson], RECOVERED by SF-R.McDonald at SF 34. R.McDonald to SF 34 for no gain (M.Jones-Drew).",0,0,1.0,0,3.0,3.0,-17.0,0.014521322301324944,0.03783396082705325,0.00018466331388098653,0.06021854477966326,0.7421512608391843,0.003743918932766804,0.14134632900612654,0.0,1,0,0.0,0.10490035628688697
29766,0.0,71.0,694.0,694.0,694.0,17,4,0.0,3,(11:34) D.Garrard pass short right to M.Jones-Drew to JAC 42 for 13 yards (S.Spencer). Caught at JAC 25.,0,0,1.0,0,3.0,3.0,-17.0,0.10908803242469016,0.23131129005869025,0.0045581640741903405,0.3379929128019726,0.08876514560284364,0.00447151001920393,0.22381294501840907,0.0,1,0,1.0,0.01986678865236032
29792,0.0,54.0,172.0,172.0,172.0,19,4,0.0,11,(2:52) (Shotgun) D.Garrard sacked at JAC 39 for -7 yards (J.Smith).,1,0,1.0,0,1.0,2.0,-17.0,0.4701683217183626,0.10479392421187482,0.0015468432414184198,0.14847146730557087,0.15773637399253107,0.003307452675737903,0.1139756168545043,0.0,1,0,0.0,0.017978100526191518
29930,0.0,50.0,111.0,1011.0,1011.0,19,3,0.0,7,"(1:51) (Shotgun) M.Cassel FUMBLES (Aborted) at KC 39, and recovers at KC 39. M.Cassel to KC 39 for no gain (J.Holt).",1,0,0.0,0,2.0,3.0,-23.0,0.027631974568294908,0.17496539013541515,0.002275989578301817,0.2599345831635773,0.31435012617161184,0.006207541646397306,0.2146343947364016,0.0,0,1,0.0,0.06747034906615539
30039,1.0,35.0,23.0,23.0,1823.0,8,2,0.0,8,(:23) (Shotgun) V.Young pass deep right to K.Britt to ARI 11 for 24 yards (M.Ware).,1,0,1.0,0,2.0,2.0,3.0,0.5430141597972509,0.034436218632978716,0.0006055865194939793,0.024783529414905886,0.3328688811280178,0.0009020940803666703,0.06338953042698604,0.0,1,0,1.0,0.021100402068461286
